Case Type,Cousulting Ferm,Industry Coverage,text,title
new business | market sizing,PricewaterhouseCoopers (PwC) Advisory,"education, training services","Case Interview Question #01139: Your client The University of Chicago (U of C, or UChicago) is a reputed top 10 private research university in Chicago, Illinois, United States. The academic bodies of the University of Chicago consist of the undergraduate College, five divisions of graduate research (Biological Sciences, Humanities, Physical Sciences, Social Sciences, and the Institute for Molecular Engineering), and six professional schools (the Pritzker School of Medicine, the Booth School of Business, the Law School, the Divinity School, Harris School of Public Policy Studies, and the School of Social Service Administration).
The University of Chicago’s management have determined that they need to start introducing online courses in their portfolio of academic offerings but the board of directors are skeptical of providing education in this format. Your consulting firm has been hired the answer the following three questions: 
1. What are the drivers of online education?
2. What is the market size of online courses in the U.S. today? Could you show how this has grown in the last decade (2005-2015)?
3. Should the university introduce online courses? Please advise the client on opportunities, risks and the strategy they should adopt.
",Univ. of Chicago Considers Launching Online Courses
market entry | mergers & acquisitions  | math problem,AlixPartners,retail | general merchandisers,"Case Interview Question #01138: Wal-Mart Stores Inc., doing business as Walmart, is an American multinational retailing corporation that operates as a chain of hypermarkets, discount department stores, and grocery stores. Headquartered in Bentonville, Arkansas, the company was founded by Sam Walton in 1962. As of January, 2017, Walmart has more than 11,000 stores and clubs in 27 countries.
Walmart’s international operations comprised 6,363 stores and 800,000 workers in 26 countries outside the United States. There are wholly owned operations in Argentina, Brazil, Canada, China, Japan, India, and the UK. Recently, Walmart wants to start an operation in France. How should they do it?
",Walmart to Buy Carrefour’s Hypermarket Business in France
increase revenues,Navigant Consulting,"tourism, hospitality, lodging","Case Interview Question #01137: Your client is Volunteers Abroad Inc., a US-based company that provides volunteering abroad programs to university students, professionals and retirees. Volunteers Abroad’s offerings consist of programs that last 16 months, whereby customers travel to a different country, live in a local community and engage in various volunteering activities of their choice, e.g. environmental conservation, animal protection, teaching English, building houses, etc.
Your client Volunteers Abroad (VA) is one of the top four largest competitors in the market. VA programs are known for safety, customer service and cultural immersion opportunities. In the last few years, VA’s revenues have been decreasing. They have reached us to put an end to this downward trend.
How would you start thinking about the problem?
",Volunteers Abroad to Increase Market Share to 30%
increase revenues | reduce costs,Alvarez Marsal,healthcare: hospital & medical,"Case Interview Question #01136: It is summer 2016 and your client Piedmont Health, Inc. is a not-for-profit healthcare delivery system in the State of North Carolina. Piedmont Health is currently in a strong financial situation but anticipates a 30% decline in revenue over the next few years.
How can you help them protect their profit margins in the future?
",Piedmont Health to Prevent Losses in Revenues
improve profitability | math problem | estimate or guesstimate,Arthur D. Little ,airlines,"Case Interview Question #01134: The client American Airlines, Inc. (AA), commonly referred to as American, is a major airline company headquartered in Fort Worth, Texas. It is the world’s largest airline when measured by fleet size, revenue, scheduled passenger-kilometers flown, and number of destinations served.
In 2011, due to a downturn in the airline industry, American Airlines’ parent company AMR Corporation filed for bankruptcy protection. In 2013, US Airways and American Airlines merged. Eventually operations were merged under one operating certificate to create the largest United States airline which kept the American Airlines brand name.
As a part of its recovery plan, American Airlines has asked your consulting firm to propose a plan to increase the number of passengers per flight. How would you approach figuring out the bottom line of increasing one passenger per aircraft in their domestic flights?
",American Airlines to Increase Number of Passengers per Flight
"operations strategy, product portfolio optimization",Alvarez & Marsal,"agriculture, farming, aquaculture","Case Interview Question #01133: Uour client Dairy Queen, Inc. (DQI) is a leading producer of dairy, ham and sausages in the United States. The company’s corporate offices are located in the Minneapolis suburb of Edina, Minnesota. Currently, it produces more than 1,000 different products. DQI and two other competitors dominate this market.
The client DQI wants to increase its profits. It has hired your consulting firm to help on this matter. How would you approach the problem?
",Dairy Queen to Drop Underperforming Products
reduce costs | business turnaround,Alvarez & Marsal,financial services,"Case Interview Question #01132: Your client State Street Global Advisors (SSgA) is a large multi-national financial services company. The firm services financial clients by creating and managing investment strategies for non-profit foundations, businesses, corporations, associations, governments, educational institutions, and religious organizations. Headquartered in Boston,  Massachusetts, United States, the company employs about 2,400 people in 25 locations around the world.
In the aftermath of the worst economic downturn since the Great Depression, a drop in financial activity as well as increasing regulation has caused its profitability to drop for 2 years in a row. How would you recommend that the client reverse this trend?
",State Street Global Advisors to Cut IT Hardware Costs
reduce costs,Navigant Consulting,"engineering, construction","Case Interview Question #01131: Your client the Otis Elevator Company is an American firm that develops, produces, and markets elevators, escalators, moving walkways and related equipment. As a pioneer in its field, Otis is the world’s largest manufacturer of vertical transportation systems, principally focusing on elevators,  moving walkways and escalators. The company is headquartered in Farmington, Connecticut, United States.
Your client The Otis Elevator Company builds elevators for both residential and commercial buildings. The CEO of Otis Elevator is worried because in the last couple of months they have been losing money even though total sales have remained almost at the same level. What is wrong and how can the situation be rectified?
Additional Information:
Provide the following information upon request:
• The client Otis currently is the largest residential elevator manufacturer in the U.S. It also recently grew to become the second largest commercial elevator manufacturer.You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Otis to Cut Material & Manufacturing Costs for Commercial Elevators
"market entry, new market | math problem",Navigant Consulting,"tourism, hospitality, lodging","Case Interview Question #01130: Your client is Starwood Properties Group (SPG), an international hotel chain that specializes in boutique luxury vacations headquartered in Stamford, Connecticut, United States. One of the world’s largest hotel companies, it owns, operates, franchises and manages hotels, resorts, spas, residences, and vacation ownership properties under its 11 owned brands.
The client SPG has over 500 properties worldwide mostly concentrated in North America and Europe. These markets are highly correlated with the global economy, thus offer few growth opportunities. In an effort to diversify, SPG is focusing on Latin America. SPG is interested in opening another 200 room hotel in Costa Rica and has requested your consulting firm’s help. There are several locations within Costa Rica suitable for the new hotel as costs are relatively uniform throughout the country.
(1) What should SPG consider when evaluating site locations for new hotel?
(2) Since costs will be the same, regardless of the site, which location offers the highest average daily revenue per room?
",Starwood to Open New Luxury Hotel in Costa Rica
operations strategy | organizational behavior,Deloitte Consulting,"apparel, clothing, textiles","Case Interview Question #01129: Deloitte has been asked to help the client, Coffee Inc., evaluate the hold or sell decision. Coffee Inc. is a large multinational woman’s clothing retailer with worldwide revenues of over $3 Billion in calendar year (CY) 2011. They sell sports, formal and casual apparel. The company as a whole has been performing strongly and has emerged out of the financial crisis with strong sales growth and many investment opportunities. Despite the company’s strong performance overall, its American operation has an under-performing brand that they have put up for review and have also closed some of the brand’s associated stores.
The American operation has two major umbrella brands: a formal wear brand bearing the same name as the company, “Coffee”, and a casual wear brand named “Tea”. The brands are sold through the following channels: 
• Coffee branded retail stores: $200M in annual revenues
• Tea branded retail stores: $20M in annual revenues
• Coffee branded outlet stores: $150M in annual revenues
• Wholesale sales to major retail chains (e.g., Macy’s): $600M in annual revenues
The Tea brand has historically been neglected because management has focused its resources on the core business – the Coffee brand. Nonetheless, the Tea brand has consistently put up a profit with minimal management attention and capital re-investment. Essentially, the management of Coffee Inc. wishes to understand whether they are better served by divesting the Tea brand and refocusing their attention on their core Coffee brand business or holding the Tea business and simply “milking the cash cow”.
Deloitte Consulting has been approached by the management of Coffee Inc. to assess whether Coffee should hold or sell the Tea brand. Specifically, there are 5 questions for you to address:
1. Using the “terms of the sale” from the data sheet, find the associated revenues for 2012 that the buyer would receive from buying Tea and compare that to the associated revenue that Coffee could maintain by not selling Tea.
2. How would you value the sale scenario and hold scenario? Present your findings.
3. If Coffee Inc. decides to hold the Tea brand, how long will it take for the cash flow from Tea to equal the amount of money that Coffee would have received through selling Tea? Note: Please use $50M as the sales price.
4. Based on your analysis, what would you recommend to Coffee?
5. Are there any other relevant issues that may affect the valuation or the divestment decision?
Additional Information: (to provide as data sheet) You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Clothing Retailer to Divest Brand and Focus on Core Business
growth strategy,Deloitte Consulting,life & health insurance,"Case Interview Question #01128: Our client is a business unit within Aetna Inc., a large national health insurance company. The client focuses primarily on the higher education student health insurance market, selling medical insurance, prescription drug insurance and dental insurance to students at large universities. The client is the market leader, both in terms of customers (~500,000) and revenue (~$500M). The overall market for higher-education student health insurance is estimated at 2.5 Million potential customers and $2.2 Billion in potential revenue.
This market requires a unique, two-staged sales model. The “first sale” is often made to the on-campus student health center to gain access to the student population. The “second sale” is to the students, who are the ultimate consumers and purchasers of the insurance products. In certain segments of the market, a broker may also act as an intermediary to the school.
The client’s operating margins have declined significantly in the face of aggressive competition and shrinking higher education budgets. Additionally, Health Care Reform presents a potential risk for future growth and profitability – notably, students age 26 and under can remain on their parents’ health insurance (versus having to buy student health insurance) and health insurers will be required to spend 80% of all revenue on medical expenses. The client’s current operating margins are 9%, down from 25% five years ago.
Deloitte Consulting has been engaged to identify profitable avenues of growth for the client as a part of the client’s three-year growth strategy. Additionally, we have been asked to deliver prioritized recommendations on potential growth strategies. You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Aetna to Grow Student Health Insurance Business
new business | industry analysis,IBM Global Business Services (GBS) ,"software, information technology (IT)","Case Interview Question #01127: Our client Epicor Software Corporation is a global business software company based in Austin, Texas, United States. The company was founded in 1972. Today, its software products are aimed at the manufacturing, distribution, retail and services industries.
The client Epicor provides enterprise resource planning (ERP) systems, including lots of software functions, such as HR modules, ERP modules and CRM modules, to large companies across most industries utilizing licensing agreements. Their ERP products include “Epicor ERP”, “Epicor Retail Suite”, “Epicor HCM”, “Prophet 21″, and “Epicor Eclipse”.
Epicor is now trying to provide the web-based “Easy ERP” system to small and medium businesses. Shall they enter the web-based ERP business segment? Why or why not?
",Epicor Software to Move into Web-based ERP Business
reduce costs,Siemens Management Consulting (SMC),energy,"Case Interview Question #01126: Your client The Alvin W. Vogtle Electric Generating Plant, also known as Plant Vogtle, is a 2-unit nuclear electricity generation facility located in Burke County, near Waynesboro, Georgia, in the southeastern United States. Plant Vogtle is one of the largest nuclear stations in the United States and one of the largest power plants of any fuel type nationwide in terms of annual energy output.
When producing electricity, it is difficult to find a cost effective way to deal with spent nuclear fuel. Currently there are two ways to deal with spent nuclear fuel: Closed Cycle and Open Cycle. How the fuel is used is identical for each disposal process; the only difference is how each is handled after being fully used.
With Closed Cycle, you open the reactor, remove the spent fuel and ship it to an off-site temporary storage facility for 20 years. After the fuel cools down for 20 years you then ship the fuel to a permanent storage facility.
With Open Cycle, you open the reactor, remove the spent fuel, and ship it to an off-site reprocessing facility. The spent fuel is broken down into three components; plutonium, uranium and “really bad stuff”. Plutonium can be stored for free. The uranium can be processed a second time and converted into Reprocessed Uranium Fuel, and sold. The “really bad stuff” needs to be stored identically as the spent fuel in the open cycle.
How would you compare the cost for each of these two processes?
",Nuclear Power Plant Compares Cost of Spent Fuel Processing
industry analysis | market sizing,PricewaterhouseCoopers (PwC) Advisory,"tourism, hospitality, lodging | government & public sector","Case Interview Question #01125: It is October 2001, just one month after the 9/11 attacks. Our client is the NYCEDC (New York City Economic Development Corporation). The NYCEDC is a not-for-profit corporation that promotes economic growth across New York City’s five boroughs. It is the City’s official economic development corporation, charged with using the City’s assets to drive growth, create jobs, and improve quality of life. The agency has its headquarters in Lower Manhattan.
The NYCEDC partners with a variety of governmental and non-governmental firms, serving as an engine for economic development. Like a Chamber of Commerce, the NYCEDC shapes policy for local business interests. Our client NYCEDC is requesting our help in looking at the city’s hotel industry in the wake of the September 11th attacks. The NYCEDC would like to know two things:
1. Can we quantify the expected impact of 9/11 on the New York City hotel industry?
2. Will the New York City hotel industry need government assistance?
",NYCEDC to Quantify Impact of 9/11 Attacks on Hotel Industry
new business | market sizing,IBM Global Business Services (GBS),"Telecommunications, Network","Case Interview Question #01124: Your client DirecTV is a satellite television service provider and broadcaster based in El Segundo, California, United States. Its satellite TV service, first launched on June 17, 1994, transmits digital satellite television and audio to households in the United States, Latin America and the Caribbean. Its primary competitors are Dish Network and cable television providers.
Recently, the client DirecTV has been experiencing declining revenues and market share because of increased competition from cable based television providers. Cable based TV providers such as AT&T, Comcast and Time Warner Cable offer a range of services including phone, internet and television (commonly called a “triple play”). Our client DirecTV currently only offers television services and has been losing customers to competitors offering triple play services.
Our client DirecTV is exploring the possibility of expanding services to include a bundled phone and internet package. You are here today to help the client determine if they should expand service offerings or not. What would you recommend?
",DirecTV to Offer Triple Play Bundled Services
increase revenues | growth strategy,Ernst & Young (EY) Advisory,"agriculture, farming, aquaculture | industrial equipment","Case Interview Question #01123: Your client AGCO Corporation (Formerly called Allis-Gleaner Corporation, NYSE: AGCO) is an American agricultural equipment manufacturer based in Duluth, Georgia, United States. The company specializes in manufacturing and leasing specialized agricultural equipment to small-to-medium farms. Their list of products include tractors, harvesters, and combines.
Your client AGCO Corporation experienced rapid revenue growth in recent years, but growth has plateaued in the past year, and the Board is worried. The CEO of AGCO wants to know what might be causing this decline in growth rate and what to focus on as part of a growth strategy going forward. Your consulting team has been brought in. How would you go about helping the CEO?
",Agricultural Equipment Maker AGCO to Develop Growth Strategy
organizational behavior | new technology,Capgemini Consulting,"consulting, hr, business services | software, information technology (IT)","Case Interview Question #01122: The client RDTC LLP is a large public accounting firm with over $3B in revenues and over 8,000 employees. Over the past three years the firm has been working to overcome challenges identified in their practice through an organization-wide change initiative. There are two key components of this change initiative — (1) a brand new technology called LCS and (2) a suite of tools, resources, and methodologies to ensure streamlined processes called RDTC Project Management. RDTC Project Management (RDTC PM) is the driving force behind the new RDTC Methodology to performing audits while LCS is simply the new software that will allow auditors to successfully execute this new methodology. This is also the first time in the history of the organization that project management has been emphasized and used to evaluate performance of staff.
RDTC is entering the third year of this change initiative and is at a critical inflection point with both LCS and RDTC PM. LCS has rolled out to all of the small and medium project teams but is now set to deploy to all large accounts. These large accounts bring in the most revenue for RDTC, have the largest teams, require the most staff hours, and have most senior audit partners leading them.
Deployment of RDTC PM has had several challenges. One of the most important aspects has been the role creation and hiring of 50 new, full-time project managers to enhance RDTC’s project management capabilities; thereby ensuring a consistent methodology for performing audits. RDTC forecasted that the 50 new project managers would be assigned to the 70 largest project teams by this year. So far only 20 have been hired and assigned to 30 project teams teams. In addition, the existing project managers have met resistance from the account teams who are not accustomed to having project management oversight.
The adoption of this change initiative is essential to ensuring that RDTC stays competitive in the market and avoids penalties from the oversight board. They want you to develop a plan for the next year of their change initiative. They want these questions and considerations addressed in your plan:
• How do we prioritize the challenges that their change initiative is facing?
• What should they consider as LCS prepares to deploy to large engagements?
• How can we attract new project managers and focus on ensuring success of the ones?
Possible 2nd level question if candidate brings up issue: The other 30 project teams have started assigning project management responsibilities to people within their team instead of waiting on a trained project manager. What are the potential risks associated with this approach? How would you address this problem?
",Accounting Firm to Prioritize Challenges in Change Initiative
improve profitability | new business,Accenture,"food service | apparel, clothing, textiles","Case Interview Question #01121: Your client is WOEM LLC, a small wedding cake and wedding clothing company located in Los Angeles, California, United States. The client WOEM has two separate business entities: WOEM cakes and WOEM clothing. As a whole company, WOEM was unprofitable last year (Year 2015).
Your consulting firm has been hired by WOEM to investigate. The CEO of WOEM believes that the creation of a third business entity, WOEM wedding planning, will lead to sustained profitability for the company. Is this a good idea? WOEM’s CEO wants your perspective on how to make WOEM profitable again. How would you go about this case?
Possible Answer:
1. Case OverviewYou need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",WOEM to Sell Unprofitable Wedding Clothing Business
operations strategy | growth, Ernst & Young (EY) Advisory ,"household goods, consumer products","Case Interview Question #01120: Our client Unilever is a global consumer packaged goods (CPG) company co-headquartered in Rotterdam, Netherlands, and London, United Kingdom. Its products include food, beverages, cleaning agents and personal care products. One of the oldest multinational companies, its products are available in around 190 countries. For this case, we’re focusing on Unilever’s U.S. business only.
Unilever USA owns over 50 brands. Recently, it is looking to shed half of its brands in an effort to boost growth, simplify its operations, be more nimble, and cut costs. How would you decide which brands to eliminate in order for Unilever to reach its growth targets? What are the additional considerations that the client should be aware of?
",Unilever USA to Eliminate 5 Brands from Portfolio
market sizing,Cornerstone Research,"sports, leisure, recreation","Case Interview Question #01119: Your client Hawaii Surf Factory Inc. is a surfboard manufacturer based in Hawaii, United States. The company has high brand recognition and a strong distribution network in the state of Hawaii. The CEO of Hawaii Surf Factory wants to expand the company’s product line and revenues and is thinking of entering the market for surfboard wax.
The CEO of Hawaii Surf Factory has hired our consulting firm to help him determine how big the market for surfboard wax is in Hawaii. How would you go about it?
",Hawaii Surfboard Manufacturer to Expand Product Line
organizational behavior | reduce costs,PricewaterhouseCoopers (PwC) ,Information Technology (IT) | Insurance: Life & Health | Insurance: Property & Casualty,"Case Interview Question #01118: Your client, Genworth Financial Inc. (NYSE: GNW), is a large insurance company in the US. The Genworth Financial family of companies has three segments: Retirement & Protection, US Mortgage Insurance, and International. Products and services include life and long-term care insurance, mortgage insurance, and annuities.
Over the last five years, Genworth Financial has grown through acquisitions of four small regional insurance companies. It has recently completed an integration of a medium sized competitor which was acquired two years earlier. Due to these acquisitions and growth, Genworth Financial’s market share has increased at a rate of 8% per year.
Furthermore, the client’s product portfolio has been recently optimized and rationalized through a consulting engagement with your consulting team. Finally, extensive market research has been done for a new pricing strategy, which has been successfully introduced three months ago. Profits have been flat the last five years across the industry, however, Genworth Financial’s profits have decreased over the same period by 4% per annum. Recent regulatory reform and public attitude towards insurance providers has added increased pressure on the executive team to transform the organization and turn the company around.
The CEO of Genworth Financial had asked the CIO (Chief Information Officer) to put together a roadmap to identify key areas of transformation. The CIO has hired your consulting team to lead the planning and road-mapping exercise for his technology organization. What project plan or roadmap would you propose for this engagement to sell to the CIO?
Additional Information:You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Genworth to Look for Opportunities for Cost Savings
"organizational behavior | operations strategy, supply chain optimization",KPMG Advisory,"government, public sector","Case Interview Question #01117: The Food and Drug Administration (FDA or USFDA) is a federal agency of the United States Department of Health and Human Services, one of the United States federal executive departments. The FDA is responsible for protecting and promoting public health through the control and supervision of food safety, tobacco products, dietary supplements, prescription and over-the-counter (OTC) pharmaceutical drugs (medications), vaccines, biopharmaceuticals, blood transfusions, medical devices, electromagnetic radiation emitting devices (ERED), cosmetics, animal foods & feed and veterinary products.
Headquartered in unincorporated White Oak, Maryland, the FDA has 160 offices and stores inventory in 40 warehouses across the country. Each office has its own property management and inventory processes, allowing the offices to access inventory from any of the 40 warehouses. The agency has difficulty tracking assets, and estimates that only 10% of all assets are tracked in its tracking system. The agency also estimates that 2% of all assets are now permanently lost.
What is a long-term strategy to improve the asset management process within the FDA?
",FDA Develops Strategy to Improve Asset Management Process
"increase sales, increase market share",Cornerstone Research,"household goods, consumer products","Case Interview Question #01116: Our client Procter & Gamble Co., also known as P&G (NYSE: PG), is a large, multinational consumer products company headquartered in downtown Cincinnati, Ohio, United States. The client P&G does business in over 200 countries. Today, we are going to focus on its US business only.
Our client P&G has been following US demographic trends and has found that low income households have been growing two times as quickly as other consumer segments Low income is defined as families with income at the poverty level or below.
Our client P&G has always had a premium product strategy. It sells its products in grocery stores, convenience stores, mass retailers, etc. but its products are always priced at the high-end of their respective categories. It has never targeted the low income consumer segment before and doesn’t have a low income strategy, but given the growth of this consumer segment, our client P&G is considering entering the low income segment. P&G has hired your consulting firm to advise them.
Specifically, the client P&G has 3 questions for you:
(1) Should it have a low income strategy?
(2) If it should have a low income strategy, what are some tactics it should deploy?
(3) What are some of the risks the client may face?
Additional Information: (to provide only upon request) You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",P&G to Increase Diapers Market Share in Low Income Consumers
operations strategy,Trinity Partners,healthcare: hospital & medical,"Case Interview Question #01115: Your client Johnson & Johnson (NYSE: JNJ) is a global medical devices, pharmaceutical and consumer packaged goods manufacturing company founded in 1886. Headquartered in New Brunswick, New Jersey, United States, the corporation has some 250 subsidiary companies with operations in 60  countries and products sold in over 175 countries. Johnson & Johnson had worldwide sales of $70.1 billion during calendar year 2015.
Your client Johnson & Johnson just recently acquired a smaller company Synthes Holding AG to help grow their orthopedics division. Shortly after the acquisition, the parent company Johnson & Johnson found several quality problems within the acquired company’s manufacturing sites that have to be remediated within six months to avoid FDA violations. You have been hired to come up with a plan that will successfully complete all remediation efforts on time. What would you do?
",J&J to Fix Manufacturing Sites to Avoid FDA Violations
reduce costs,Bridgespan Group,"government, public sector | sports, leisure, recreation","Case Interview Question #01114: Leslie Barbara Knope is a fictional character and the protagonist of the NBC comedy Parks and Recreation. In the first three seasons of the show, Leslie is the Deputy in Pawnee, Indiana’s Parks and Recreation Department, a mid-level bureaucratic position; in season 4, she successfully campaigns to become a member of the city council.
Leslie Knope has been recently elected to the Town Council of Pawnee, Indiana. During her campaign, she promised the citizens of Pawnee that she would build a beautiful new park. The towns’ budget, however, does not have the funding to fulfill Leslie Knope’s ambitious promise.
Leslie wants your advice on how to proceed. Specifically, your first task is to determine if and how it’s possible to build her new park. How would you go about it?
Additional Information: You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Leslie Knope to Build New Park in Pawnee
investment | finance & accounting,Cornerstone Research,"software, information technology (IT) | government, public sector","Case Interview Question #01113: Our client is a disgraced former congressman, Anthony Weiner, who resigned after numerous indecent text messages he sent surfaced in the media. Anthony Weiner represented New York’s 9th congressional district from January 1999 until June 2013. A member of the Democratic Party, he won seven terms, never receiving less than 59% of the vote. Weiner resigned from Congress in June 2013 when the first of what would become multiple sexting scandals were made public.
After he resigned from Congress, Anthony Weiner is considering using his vast resources to purchase one of three companies for investment. Our firm has been hired by Mr. Weiner to advise him. Our primary job is to ensure he picks the right company that matches his interest and expertise, and is also profitable. How would you go about this case?
Additional Information:
If requested, provide the following info to the candidate:You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Anthony Weiner to Invest in Picture Sharing App
"market entry, new market",OC&C Strategy Consultants,building materials,"Case Interview Question #01112: Our client Azulejo Tile & Stone is a large tile company based in the suburb of Mexico City, Mexico. The company is a leading manufacturer and distributor of ceramic and stone tile and is a major supplier to some of the largest distributors throughout the Mexican tile market.
The client Azulejo has enjoyed rapid sales growth and profitability for the last several years. However, the company’s sales growth has been stagnate so far this year. The CEO of the tile company is also concerned that it might have over-hired this past year and may need to reduce headcount to stay afloat. The company requests your help to assess the current situation and to determine the optimal next steps for them. How would you go about it? What would you recommend?
",Mexican Tile Firm Expands into U.S. Market to Spur Growth
"organizational behavior, human capital",A.T. Kearney,"life & health insurance | software, information technology (IT)","Case Interview Question #01111: Your client Aetna, Inc. (NYSE: AET) is one of the largest health plans in the United States with over 30,000 employees. They are facing drastic changes in the health care industry. Healthcare reforms have pushed Aetna to pursue a route of customer-centric strategies. To remain  competitive with the raise of Health Care Exchanges, your client Aetna has decided to implement a new Client Relationship Management (CRM) system in order to enhance the customer and employee experience.
Currently, contact center associates have no visibility into customer call history. When a customer calls with a follow up question, new cases are created in Aetna’s legacy CRM system instead of being attached to the original case. Additionally, when calls are transferred, the next contact center associate does not see the previous call history and must re-ask demographic and issue questions. This process decreases customer satisfaction and leads to re-work and decreased productivity for contact center associates.
You are the change management lead for the new CRM system adoption project. The client Aetna wants to understand how you will help them prepare their business for this large scale change.
There are several questions and considerations they want you to address in your plan:
1. Who are the stakeholders? How will you communicate to these stakeholders?
2. What are the change issues and how will you address them?
3. How will you measure success?
",Aetna to Implement New Client Relationship Management System
mergers & acquisitions  | pricing & valuation |  operations strategy,Schlumberger Business Consulting (SBC),"oil, gas, petroleum industry","Case Interview Question #01110: The client Oklahoma Gas Company (OGC) is a medium-sized private company that has a rich history of drilling and producing natural gas wells in the state of Oklahoma. They possess a diverse, and they believe valuable, set of land assets where more natural gas wells could be drilled.
The company OGC is well capitalized, but profits have been falling in the last few years and are projected to be negative next year. One of the key drivers in the drop in profitability is the price of natural gas, which has dropped substantially, thanks in part to companies like OGC, that have perfected unconventional drilling techniques and have subsequently oversupplied the North American natural gas market. Natural gas prices are currently at a five year low.
Recently, a larger competitor has approached the management of Oklahoma Gas Company about acquiring OGC for $250 Million. Management would like your help in assessing the offer as well as identifying alternate strategies. What would you recommend?
Additional Information: to be provided upon request You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Oklahoma Gas Company to Explore Oil Wells in Texas
increase revenues,IMS Health Consulting Group ,"healthcare: pharmaceutical, biotech, life sciences","Case Interview Question #01109: our client AstraZeneca (LSE: AZN, NYSE: AZN) is a multinational pharmaceutical and biologics company headquartered in Cambridge, England, UK. The company was founded in 1999 through the merger of the Swedish Astra AB and the English Zeneca Group. As of 2015, it is the eighth largest drug company in the world based on sales revenue.
AstraZeneca has a portfolio of products for major disease areas including cancer, cardiovascular, gastrointestinal, infection, neuroscience, respiratory and inflammation, to name a few. The client has experienced a decline in revenue over the last 18 months, and is fearful of further declines, especially given that its most commercially successful drug Nexium (a.k.a. the purple pill), which treats acid reflux disease (gastroesophageal reflux disease, or GERD), will be going off of patent in May of next year. What are the areas they should look into to change the course of this trend?
",AstraZeneca to Deal with Purple Pill’s Patent Expiration
"market entry, new market",Capgemini Consulting,alcohol | international trade,"Case Interview Question #01108: Your client is Deda Mitsa Winery, a mid-size wine producer in the Republic of Georgia. Georgia is a country in the Caucasus region of Eurasia. Located at the crossroads of Western Asia and Eastern Europe, it is bounded to the west by the Black Sea, to the north by Russia, to the south by Turkey and Armenia, and to the southeast by Azerbaijan.
The client Deda Mitsa Winery produces 10 million bottles of wine annually and are moderately profitable. They enjoy a reputation as a high quality wine producer; many of Deda Mitsa Winery’s competitors are known to import grapes and pass them off as Georgian in their wines.
Even though Georgian wine is largely unknown in many parts of the world, it is the one of the most prized wines of the former Soviet Union and Eastern Europe.  However, Russia has recently declared a moratorium on imports of Georgian wine due to the prevalence of counterfeits. Deda Mitsa Winery usually exports 50% of its wines to Russia and is uncertain where to make up the difference. What options are available to the company?
Additional Information: You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Georgian Winery to Export Wines into USA
improve profitability | reduce costs,Siemens Management Consulting,"electronics, semiconductors | manufacturing","Case Interview Question #01107: Your client Texas Instruments Inc. (NASDAQ: TXN) is an international semiconductor company that designs and manufactures chips that are used in three industries: (1) consumer electronics, (2) healthcare and (3) automotive. Headquartered in Dallas, Texas, United States, Texas Instruments is one of the largest semiconductor companies worldwide, based on sales volume.
The CEO of Texas Instruments (TI) has witnessed decreasing profit over the last three years. The CEO has hired your consulting team to fix the decline in profit. What are the areas that they should look into to identify their problem? What corrective actions can be taken to improve their profitability?
",Texas Instruments to Invest in R&D to Be Technology Leader
pricing & valuation,Simon-Kucher & Partners (SKP),"mass media & communications | sports, leisure & recreation","Case Interview Question #01106: Your client CBS (Columbia Broadcasting System) is an American commercial broadcast television network that is a flagship property of American mass media company CBS Corporation (NYSE: CBS). The company is headquartered at the CBS Building in New York City with major production facilities and operations in New York City and Los Angeles.
CBS is looking into buying the rights to broadcast the 2018 Winter Olympics which is scheduled to take place in Pyeongchang, South Korea. The opportunity to bid on this target closes shortly, and you need to advise the client CBS on how much should they bid, and what should they take into account when bidding. How would you go about it?
Additional Information: (to be provided only upon request)
• The 2018 Winter Olympics would be held in Pyeongchang, South Korea.
• The CBS network will be filming the events in South Korea, and broadcasting the events only in the U.S. You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",CBS to Bid for Rights to Broadcast 2018 Winter Olympics
